"","zip","Boligareal","Vgtet_areal","Grundareal","rum","vaer","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris","nedslag"
"1112",4370,180,178,1247,6,5,2,1934,2661,12051,359,110000,11599,9341,2002,0,0,2145078,0
"1113",7600,108,151,686,3,2,2,1964,1513,5265,87,40000,4251,3412,0,108,0,795015,0
"1114",7600,110,132,236,4,2,3,1939,1508,5265,1599,35000,3188,2688,0,66,13,694980,103848
"1115",7600,130,139,825,4,3,1,1971,1354,5540,266,40000,4114,3305,0,0,3,770060,23816
"1116",7600,101,129,370,3,3,3,1928,1561,5775,204,40000,3994,3206,0,64,6,744975,47552
"1117",7600,120,124,360,4,3,2,1920,974,5605,1443,35000,3880,3117,1968,0,0,695020,0
"1118",7600,79,82,191,2,1,1,1892,1118,10305,1226,45000,4000,3326,0,0,6,845010,53937
"1119",7600,109,111,229,2,2,2,1887,1307,6712,88,40000,3985,3202,1980,0,6,745032,47555
"1120",7600,114,137,864,4,2,3,1940,1297,5073,1607,35000,3726,2993,1979,68,13,695001,103851
"1121",7600,93,104,780,4,3,2,1952,1588,6202,1583,35000,3180,2612,0,18,19,645008,151298
"1122",7600,120,125,343,6,6,2,1900,1385,4760,413,30000,2823,2348,1973,4,8,595000,51739
"1123",4470,127,134,778,4,3,1,1980,2133,7425,172,50000,5307,4311,1995,0,9,994950,98402
"1124",4470,199,240,1095,4,4,2,1962,2448,8313,238,0,11035,8973,1989,42,0,1995120,0
"1125",4470,96,109,895,4,3,1,1968,1820,11927,124,65000,7516,6003,0,0,3,1300043,40208
"1126",4470,170,172,1020,7,5,2,1966,1857,6105,352,55000,5600,4549,0,0,9,1050060,103852
"1127",4470,101,130,958,3,2,3,1957,1735,6115,123,40000,4269,3468,0,5,0,794950,0
"1128",5700,179,182,665,8,8,3,1900,2272,14835,241,135000,14343,11428,0,8,0,2699970,0
"1129",5700,246,248,1229,7,5,2,1988,3750,14899,184,185000,18670,15248,2007,0,0,3694952,0
"1130",4520,60,71,217,2,1,1,1900,910,7676,262,30000,2922,2352,0,0,0,544996,0
"1131",4520,169,175,553,4,3,2,1917,1788,9971,289,90000,9231,7433,1976,0,0,1744925,0
"1132",6470,110,144,1026,4,3,2,1945,1776,4132,177,30000,3210,2575,0,82,0,595008,0
"1133",6470,109,124,803,4,3,1,1965,1290,5242,2172,35000,3492,2802,1974,0,6,650008,41490
"1134",6470,146,160,705,5,4,1,1973,1345,5594,126,45000,4800,3852,0,0,0,895040,0
