"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"67",5792,117,123,1174,43,1,1908,1291,11341,191,70000,7427,5931,0,15,0,1394943
"68",5792,130,184,852,43,2,1967,NA,NA,0,90000,9528,7603,0,130,0,NA
"69",9340,58,84,368,21,2,1936,1357,5060,409,25000,2291,1824,0,58,17,425040
"70",9340,100,109,471,33,2,1934,1158,4578,308,25000,2704,2152,0,0,8,499002
"71",9340,100,98,483,42,2,1933,1213,6888,93,35000,3628,2889,2007,0,0,675024
"72",4792,360,191,13518,117,2,1875,4535,32461,750,310000,32835,26453,1979,0,5,6200051
"73",4792,120,119,823,32,1,1850,1925,7143,92,45000,4551,3665,0,0,0,850017
"74",4792,65,69,920,32,2,1775,1259,4275,140,25000,1571,1265,0,0,0,294975
"75",4792,226,NA,1412,53,1,1900,2444,7500,556,85000,9029,7273,1992,0,15,NA
"76",4792,102,107,1261,43,2,1939,1678,9299,443,50000,5330,4293,0,0,0,994993
"77",4792,113,120,549,43,2,1948,1700,3542,133,25000,2286,1841,0,2,0,425040
"78",4792,58,60,4669,32,1,1825,1129,9917,155,30000,3216,2590,0,0,0,595020
"79",4792,99,119,1162,43,2,1939,1719,11345,107,70000,7180,5779,0,0,0,1350055
"80",4550,152,174,19714,43,2,1900,2712,10316,620,90000,8969,7324,1998,0,0,1794984
"81",4550,173,276,948,64,3,1954,3041,9040,542,125000,11159,9370,1973,97,7,2495040
"82",5466,183,181,905,75,2,1999,2052,10470,442,95000,10022,8031,0,0,5,1895070
"83",5466,61,117,1315,44,2,1827,1972,21325,291,125000,12088,9917,0,0,0,2495025
"84",5466,160,159,753,54,2,1877,1597,7516,156,60000,6620,5309,0,0,7,1195044
"85",5610,235,242,3200,75,1,1800,2914,3285,140,40000,4266,3408,1950,0,0,794970
"86",5610,63,65,45,32,3,1800,1427,9154,129,30000,3220,2572,1985,11,0,595010
"87",5610,125,NA,170,42,2,1877,1757,7160,233,45000,4797,3830,1950,0,10,NA
"88",5610,162,168,713,54,1,1962,1912,8185,472,70000,6824,5581,0,0,7,1375080
"89",5610,250,275,2585,76,2,1851,2310,7255,363,0,10568,8438,1990,0,5,1995125
"90",5610,108,117,911,32,1,1970,1579,6795,136,40000,4269,3410,0,0,0,795015
"91",5610,126,134,1385,32,3,1925,1519,5597,182,40000,3739,3057,0,6,0,749998
"92",5610,195,206,15000,42,4,1800,4016,7257,1961,75000,7919,6323,0,0,0,1494942
"93",5610,105,116,1031,32,2,1952,1304,7974,154,50000,4927,3937,2007,0,0,924984
"94",5610,153,158,1101,64,2,1850,2007,10095,185,80000,8427,6728,0,10,2,1595010
"95",5610,123,124,681,43,2,1875,1700,10444,400,65000,7103,5677,1950,0,19,1295056
"96",5610,157,198,762,53,2,1964,2231,10581,535,105000,10455,8553,0,130,5,2095038
"97",5610,165,114,1000,74,1,1861,1192,9605,446,55000,5445,4453,0,0,8,1094970
"98",5610,232,NA,816,107,3,1911,2143,12047,121,140000,14786,11817,1999,0,0,NA
