"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"1414",5690,103,190,1380,21,2,1953,1850,4711,431,45000,4976,3977,0,85,0,895090
"1415",5690,109,126,865,43,1,1963,1696,10278,227,65000,6907,5515,0,0,0,1295028
"1416",5690,202,200,1297,75,1,1907,1993,13250,186,135000,14358,11476,2019,0,7,2650000
"1417",6270,118,144,721,53,2,1950,1677,6910,162,50000,5320,4272,0,72,0,995040
"1418",6270,197,206,556,74,2,1925,1944,9684,192,0,9929,8163,0,0,9,1994904
"1419",6270,220,221,891,65,2,1987,1802,4751,112,55000,5180,4257,2006,0,0,1049971
"1420",4943,96,101,1185,43,2,1921,1266,2960,104,25000,1592,1267,0,2,13,298960
"1421",4943,202,223,2170,75,2,1907,1641,4238,303,50000,4479,3699,1983,0,0,945074
"1422",4943,196,203,2576,54,2,1972,1740,4409,101,45000,4563,3718,0,0,0,895027
"1423",5953,104,149,1204,31,2,1947,1408,3859,134,30000,3102,2468,0,104,11,574991
"1424",5953,135,156,1132,42,1,1820,1436,7660,347,60000,6381,5078,1880,10,6,1194960
"1425",5953,97,100,389,32,3,1899,1127,5450,652,30000,2934,2334,1986,3,0,545000
"1426",5953,234,235,590,64,3,1912,1417,2532,255,30000,3214,2557,1992,8,8,595020
"1427",5953,134,156,565,32,3,1936,1366,4776,197,40000,3991,3175,1980,42,12,745056
"1428",5953,186,198,953,54,2,1885,1810,1944,360,25000,2072,1648,1997,4,34,384912
"1429",5953,175,177,1035,64,2,1827,1768,10085,193,90000,9493,7555,1976,0,0,1785045
"1430",8570,140,146,980,42,1,1976,1808,5788,212,45000,4504,3598,0,0,0,845048
"1431",4030,116,169,800,32,2,1965,3233,18639,156,160000,16554,13469,0,116,7,3149991
"1432",4030,121,126,653,52,1,1860,2976,26944,129,170000,17925,14585,1998,0,3,3394944
"1433",4682,141,156,748,64,1,1979,2646,17276,123,135000,14301,11559,0,0,4,2695056
"1434",4682,120,130,802,42,1,1967,2291,14577,93,95000,10042,8116,1972,0,5,1895010
"1435",4682,288,147,2413,54,2,1924,2792,23122,280,170000,18122,14659,2018,0,3,3398934
"1436",9382,120,130,930,32,1,1957,1392,5369,366,35000,3755,3017,0,0,13,697970
"1437",4350,217,234,714,65,3,1900,2102,5107,444,60000,6961,5502,0,50,15,1195038
"1438",6990,158,168,876,64,1,1973,1727,7440,350,65000,6612,5304,0,0,0,1249920
"1439",6990,200,246,18320,54,2,1900,2045,5488,147,70000,7176,5761,1998,0,0,1350048
"1440",6990,154,178,889,64,3,1907,1529,4213,98,40000,4023,3227,0,10,0,749914
"1441",6990,166,185,690,32,3,1935,1468,6351,210,60000,6282,5043,1997,16,6,1174935
"1442",6990,193,201,1111,54,1,1973,1906,9925,169,0,11566,9112,0,0,5,1994925
"1443",6990,131,143,850,55,1,2008,1233,14650,296,105000,9685,8176,0,0,0,2094950
"1444",6990,152,158,854,65,1,1979,1594,4747,154,40000,4015,3223,0,0,0,750026
"1445",6990,83,103,1000,32,2,1962,758,4320,367,25000,2405,1928,0,47,10,444960
"1446",6990,136,155,816,54,1,1966,1049,4839,154,40000,3993,3203,0,0,0,750045
"1447",6990,187,208,3112,54,3,1945,1377,3601,506,40000,3996,3205,1976,60,6,749008
"1448",6990,177,198,5564,65,2,1830,2806,9571,833,95000,10068,8077,0,0,12,1895058
"1449",6990,58,77,598,43,2,1940,1181,4545,900,25000,2046,1612,2002,48,18,349965
"1450",6990,208,214,39469,54,1,1827,2515,9322,143,0,10879,8736,2000,0,0,1994908
"1451",6990,64,77,521,32,1,1945,996,5130,379,25000,2116,1697,0,0,7,395010
"1452",6990,157,159,840,43,2,1980,1338,6258,878,50000,4986,4094,0,0,5,995022
"1453",6990,222,215,510,107,2,1902,1097,2302,347,25000,2699,2166,0,0,0,494930
"1454",6990,157,166,538,43,2,1914,1358,2982,773,25000,2681,2151,0,0,21,495012
"1455",6990,160,184,1977,85,2,1920,1291,3505,113,35000,3441,2773,1978,0,0,644920
"1456",5540,159,188,720,66,2,1971,1918,7952,344,75000,7363,6010,1978,39,0,1494976
"1457",5540,214,223,1074,64,2,1973,2604,7399,422,85000,8733,6965,1983,0,3,1649977
"1458",5540,197,205,920,74,1,1990,2513,8268,760,85000,9837,7693,0,0,6,1694940
"1459",5540,255,306,1516,76,3,1973,2880,8154,97,125000,13193,10513,0,135,2,2495124
"1460",5540,169,177,826,87,3,1875,1500,5367,121,50000,5497,4299,2010,0,0,949959
"1461",5540,113,134,1202,54,3,1928,1980,8209,97,55000,5496,4486,0,20,0,1100006
"1462",5540,243,257,1205,88,1,1967,3408,11654,359,150000,15898,12680,1976,40,0,2995078
"1463",2500,169,191,547,75,3,1936,6102,60183,122,575000,61343,50158,0,74,4,11494953
"1464",2500,140,143,470,75,4,1936,5394,66399,92,475000,50102,40936,1962,57,5,9495057
"1465",2500,103,150,624,54,2,1936,5237,39993,170,0,34655,27851,1971,103,14,5998950
"1466",2665,182,181,827,43,2,1989,5931,33122,91,0,31598,25394,0,0,8,5995082
"1467",2665,155,164,983,54,1,2007,6093,41433,106,340000,35935,28880,0,0,3,6795012
"1468",2665,157,154,929,54,2,1990,4566,33084,142,255000,26933,21661,0,0,7,5094936
"1469",2665,126,132,911,43,1,1973,3930,34091,178,225000,23797,19139,1994,0,10,4500012
"1470",2625,180,176,908,65,2,1988,4658,34063,153,0,31676,25457,0,0,3,5995088
"1471",6580,201,276,1214,74,3,1890,2456,5054,735,70000,6271,5295,1976,24,7,1394904
"1472",6580,145,148,516,43,2,1900,1762,8750,147,65000,6305,5179,0,4,0,1295000
"1473",6580,391,390,4097,88,3,1934,2578,11756,121,230000,22723,18691,2011,8,0,4584840
"1474",6580,245,253,2418,65,2,1900,2906,6700,478,85000,9843,7767,1986,0,6,1695100
"1475",6580,218,220,939,64,1,1924,1697,6795,219,75000,7953,6395,1979,6,15,1494900
"1476",6580,254,248,1124,97,2,1938,2022,3609,296,45000,4796,3852,1993,0,10,895032
"1477",6580,364,397,5191,85,2,1878,2646,10063,248,0,21157,16999,0,19,0,3995011
"1478",6580,189,205,1471,75,1,1986,2593,8756,245,90000,10420,8222,0,0,3,1794980
"1479",6580,158,159,881,54,2,1900,2182,6258,303,50000,5324,4280,2005,0,9,995022
"1480",6580,172,225,572,64,2,1977,1909,6867,86,80000,8196,6585,0,110,0,1545075
"1481",6580,167,171,910,54,1,1961,1977,7012,309,60000,6379,5128,0,0,7,1199052
"1482",6580,163,160,521,74,2,1877,1975,6156,570,50000,5725,4518,2007,0,24,984960
"1483",6580,130,154,803,65,3,1897,1931,4188,273,35000,3457,2779,0,8,0,644952
"1484",6580,146,150,665,53,2,1903,1890,6300,630,50000,5025,4040,2003,5,5,945000
"1485",6580,331,298,7042,54,3,1953,4503,13070,133,195000,20549,16524,2015,77,0,3894860
"1486",6580,149,137,818,43,1,1827,1774,6204,99,45000,4529,3641,0,0,0,849948
"1487",6580,190,202,1379,54,3,1927,2261,12847,172,130000,13730,11039,0,28,0,2595094
"1488",6580,190,195,403,65,2,1912,1949,5872,667,60000,6095,4900,0,0,8,1145040
"1489",6580,197,203,678,54,2,1917,2084,7118,434,75000,7729,6215,2009,0,0,1444954
"1490",6580,150,190,670,74,3,1907,1824,3947,924,40000,4002,3215,1989,8,11,749930
"1491",6580,130,136,1071,43,1,1993,2029,10257,86,70000,7394,5940,0,0,0,1394952
"1492",6580,176,180,819,53,1,1981,2415,9972,152,90000,8991,7394,1993,0,4,1794960
"1493",6580,210,248,3905,54,1,1922,2543,3609,773,45000,4813,3870,1980,0,10,895032
"1494",7184,85,119,620,31,2,1954,1493,5420,198,35000,3235,2706,0,85,7,644980
"1495",2720,212,243,578,64,2,1927,6567,33745,155,410000,45004,36803,0,60,0,8200035
"1496",2720,117,145,598,64,3,1951,5789,49621,86,360000,38192,31227,0,69,4,7195045
"1497",2720,110,138,365,53,2,1938,5895,68804,119,475000,50189,41036,0,70,5,9494952
"1498",2720,122,118,382,43,2,2005,4798,55042,135,325000,34613,28301,0,0,4,6494956
"1499",2720,85,121,526,31,2,1934,6555,59876,93,365000,38158,31199,0,85,7,7244996
"1500",2720,175,253,768,74,2,1938,8078,43458,135,550000,58168,47561,1947,175,8,10994874
"1501",2720,209,253,765,86,2,1937,7753,47411,154,0,65002,53154,2017,95,8,11994983
"1502",2720,108,153,344,42,2,1937,4513,37876,140,290000,30617,25033,0,108,3,5795028
"1503",6800,90,100,1312,43,1,1952,2497,7500,275,40000,4041,3260,0,0,0,750000
"1504",6800,207,215,956,65,1,1971,1731,4163,3361,45000,4793,3863,1978,0,10,895045
"1505",6800,181,189,749,76,2,1973,1744,9497,337,90000,9516,7671,1978,0,4,1794933
"1506",6800,709,600,15925,76,2,1805,3264,17500,434,525000,55827,45047,1970,4,0,10500000
"1507",6800,163,198,1957,64,3,1961,3018,17652,1534,175000,18509,14922,0,53,0,3495096
"1508",6800,150,89,487,55,2,1695,2582,14551,415,65000,6903,5565,1986,0,13,1295039
"1509",6800,141,172,338,62,3,1935,2091,9215,101,80000,8430,6796,0,86,0,1584980
"1510",6800,105,109,597,32,1,1983,1381,4541,205,25000,2683,2162,0,0,14,494969
"1511",6800,153,195,4228,54,2,1927,1499,5462,1772,55000,5681,4579,1970,0,3,1065090
